,20,21,22,23,24,27,29,30,33,34,35,37,38,39,40,41,42,43,44,45,sum,duration,event,Category
Christ Church - Plague,0,0,0,0,0,0,0,0,1,2,2,9,5,6,4,6,6,5,3,2,51,33,1,Group A
St Christophers - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,39,1,Group A
St Clement Eastcheap - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1,Group A
St Dionis Backchurch - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,21,1,Group A
St Dunstan East - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,42,1,Group A
St Edmund Lumbardstr. - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,39,1,Group A
St Ethelborough - Plague,0,0,0,0,0,0,0,3,3,0,2,2,1,0,0,1,1,1,1,0,15,30,1,Group A
St Faith - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,10,40,1,Group A
St Foster - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,40,1,Group A
St Gabriel Fenchurch - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,35,1,Group A
St George Botolphlane - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,35,1,Group A
St Gregory by St Pauls - Plague,0,0,0,0,0,0,0,0,2,5,2,4,1,4,1,0,0,2,0,0,21,33,1,Group A
St Hellen - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,38,1,Group A
St James Dukes place - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,42,1,Group A
St James Garlickhithe - Plague,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37,1,Group A
St John Baptist - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,44,1,Group A
St John Evangelist - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St John Zachary - Plague,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,0,1,8,34,1,Group A
St Katharine Coleman - Plague,0,0,0,0,1,0,0,0,1,2,8,7,4,9,7,6,1,7,4,2,59,24,1,Group A
St Katharine Creechurch - Plague,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,6,0,3,1,1,16,33,1,Group A
St Lawrence Jewry - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St Lawrence Pountney - Plague,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,6,37,1,Group A
St Leonard Eastcheap - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,35,1,Group A
St Leonard Fosterlane - Plague,0,0,0,0,0,0,0,0,2,5,5,2,2,0,1,1,5,4,0,1,28,33,1,Group A
St Magnus Parish - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,9,40,1,Group A
St Margaret Lothbury - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St Margaret Moses - Plague,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,0,1,0,9,33,1,Group A
St Margaret Newfishstreet - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,10,21,1,Group A
St Margaret Pattons - Plague,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,24,1,Group A
St Mary Abchurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St Mary Aldermanbury - Plague,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,4,0,9,38,1,Group A
St Mary Aldermary - Plague,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,6,37,1,Group A
St Mary le Bow - Plague,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,24,1,Group A
St Mary Bothaw - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35,1,Group A
St Mary Colechurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,1,Group A
St Mary Hill - Plague,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,4,33,1,Group A
St Mary Mounthaw - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,1,Group A
St Mary Sommerset - Plague,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,3,0,10,34,1,Group A
St Mary Stayning - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,39,1,Group A
St Mary Woolchurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,40,1,Group A
St Mary Woolnoth - Plague,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,33,1,Group A
St Martin Iremongerlane - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St Martin Ludgate - Plague,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,37,1,Group A
St Martin Orgars - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St Martin Outwich - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,1,Group A
St Martin Vintrey - Plague,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,3,0,0,10,38,1,Group A
St Matthew Fridaystreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,1,Group A
