,20,21,22,23,24,27,29,30,33,34,35,37,38,39,40,41,42,43,44,45,sum,non_zero_column,event
St Alban Woodstreet - Plague,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,1,0,1,0,0,10,34,1
Alhallows Barking - Plague,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,2,4,1,3,2,19,34,1
Alhallows Breadstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,40,1
Alhallows Great - Plague,0,0,1,0,0,0,0,0,0,0,1,1,0,7,2,7,4,5,4,2,34,22,1
Alhallows Honylane - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
Alhallows Lesse - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,42,1
Alhallows Lumbardstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
Alhallows Stayning - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
Alhallows the Wall - Plague,0,0,0,2,0,0,0,0,0,0,1,6,5,3,3,6,1,2,1,1,31,23,1
St Alphage - Plague,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,1,0,1,9,38,1
St Andrew Hubbard - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,42,1
St Andrew Undershaft - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1,10,21,1
St Andrew Wardrobe - Plague,0,0,0,0,0,0,0,0,1,0,2,8,3,1,1,6,2,1,3,2,30,33,1
St Ann Aldersgate - Plague,0,0,0,0,0,0,0,0,0,2,1,1,2,7,9,6,3,8,2,3,44,34,1
St Ann Blackfryers - Plague,0,0,0,0,0,0,0,1,7,5,5,4,9,4,4,1,2,0,0,0,42,30,1
St Antholins Parish - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,44,1
St Austins Parish - Plague,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,34,1
St Bartholomew Exchange - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
St Bennet Fynck - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,4,38,1
St Bennet Gracechurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42,1
St Bennet Paulswharf - Plague,0,0,0,0,0,0,0,0,0,2,0,1,4,9,7,6,7,1,2,0,39,34,1
St Bennet Sherehog - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
St Botolph Billingsgate - Plague,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,1,7,33,1
Christ Church - Plague,0,0,0,0,0,0,0,0,1,2,2,9,5,6,4,6,6,5,3,2,51,33,1
St Christophers - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,39,1
St Clement Eastcheap - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1
St Dionis Backchurch - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,21,1
St Dunstan East - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,42,1
St Edmund Lumbardstr. - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,39,1
St Ethelborough - Plague,0,0,0,0,0,0,0,3,3,0,2,2,1,0,0,1,1,1,1,0,15,30,1
St Faith - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,10,40,1
St Foster - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,40,1
St Gabriel Fenchurch - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,35,1
St George Botolphlane - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,35,1
St Gregory by St Pauls - Plague,0,0,0,0,0,0,0,0,2,5,2,4,1,4,1,0,0,2,0,0,21,33,1
St Hellen - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,38,1
St James Dukes place - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,42,1
St James Garlickhithe - Plague,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37,1
St John Baptist - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,44,1
St John Evangelist - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
St John Zachary - Plague,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,0,1,8,34,1
St Katharine Coleman - Plague,0,0,0,0,1,0,0,0,1,2,8,7,4,9,7,6,1,7,4,2,59,24,1
St Katharine Creechurch - Plague,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,6,0,3,1,1,16,33,1
St Lawrence Jewry - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
St Lawrence Pountney - Plague,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,6,37,1
St Leonard Eastcheap - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,35,1
St Leonard Fosterlane - Plague,0,0,0,0,0,0,0,0,2,5,5,2,2,0,1,1,5,4,0,1,28,33,1
St Magnus Parish - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,9,40,1
St Margaret Lothbury - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
St Margaret Moses - Plague,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,0,1,0,9,33,1
St Margaret Newfishstreet - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,10,21,1
