id,OMEKA_PAR,20,21,22,23,24,27,29,30,33,34,35,37,38,39,40,41,42,43,44,45
125,St Margaret Westminster,0,0,0,0,0,0,0,0,3,0,4,36,18,43,43,38,51,31,34,20
126,Lambeth Parish,0,0,0,0,0,0,1,3,0,1,1,2,1,4,2,4,4,5,2,2
127,St Mary Newington,0,0,0,1,0,0,1,4,8,8,10,18,14,17,25,21,20,22,8,7
128,Rothorith Parish,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,1,1
129,St Mary Islington,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,2,1,4,0,0
130,Stepney Parish,6,14,14,22,16,14,15,14,14,30,22,41,50,68,52,64,50,43,33,23
131,Hackney Parish,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,1,1,1
