,id,parish,20,21,22,23,24,27,29,30,33,34,35,37,38,39,40,41,42,43,44,45,sum,duration,event,Category
46,47,St Leonard Fosterlane - Plague,0,0,0,0,0,0,0,0,2,5,5,2,2,0,1,1,5,4,0,1,28,33,1,Group A
47,48,St Magnus Parish - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,9,40,1,Group A
48,49,St Margaret Lothbury - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
49,50,St Margaret Moses - Plague,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,0,1,0,9,33,1,Group A
50,51,St Margaret Newfishstreet - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,10,21,1,Group A
51,52,St Margaret Pattons - Plague,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,24,1,Group A
52,53,St Mary Abchurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
53,54,St Mary Aldermanbury - Plague,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,4,0,9,38,1,Group A
54,55,St Mary Aldermary - Plague,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,6,37,1,Group A
55,56,St Mary le Bow - Plague,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,24,1,Group A
56,57,St Mary Bothaw - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35,1,Group A
57,58,St Mary Colechurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,1,Group A
58,59,St Mary Hill - Plague,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,4,33,1,Group A
59,60,St Mary Mounthaw - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,1,Group A
60,61,St Mary Sommerset - Plague,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,3,0,10,34,1,Group A
61,62,St Mary Stayning - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,39,1,Group A
62,63,St Mary Woolchurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,40,1,Group A
63,64,St Mary Woolnoth - Plague,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,33,1,Group A
