,id,OMEKA_PAR,20,21,22,23,24,27,29,30,33,34,35,37,38,39,40,41,42,43,44,45,sum,duration,event,Category
50,51,St Margaret Newfishstreet,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,10,21,1,1
51,52,St Margaret Pattons,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,24,1,1
52,53,St Mary Abchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
53,54,St Mary Aldermanbury,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,4,0,9,38,1,1
54,55,St Mary Aldermary,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,6,37,1,1
55,56,St Mary le Bow,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,24,1,1
56,57,St Mary Bothaw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35,1,1
57,58,St Mary Colechurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,1,1
58,59,St Mary Hill,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,4,33,1,1
59,60,St Mary Mounthaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,1,1
60,61,St Mary Sommerset,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,3,0,10,34,1,1
61,62,St Mary Stayning,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,39,1,1
62,63,St Mary Woolchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,40,1,1
63,64,St Mary Woolnoth,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,33,1,1
64,65,St Martin Iremongerlane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
65,66,St Martin Ludgate,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,37,1,1
66,67,St Martin Orgars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
67,68,St Martin Outwich,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,1,1
68,69,St Martin Vintrey,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,3,0,0,10,38,1,1
69,70,St Matthew Fridaystreet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,1,1
70,71,St Maudlin Milkstreet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
71,72,St Maudlin Oldfishstreet,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,6,3,2,2,25,38,1,1
72,73,St Michael Bassishaw,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,7,37,1,1
73,74,St Michael Cornhil,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,8,23,1,1
74,75,St Michael Crookedlane,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,39,1,1
75,76,St Michael Queenhithe,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,0,3,2,2,0,14,33,1,1
76,77,St Michael Quern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1,1
77,78,St Michael Royal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
78,79,St Michael Woodstreet,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,1,1,0,0,1,12,35,1,1
79,80,St Mildred Breadstreet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,6,38,1,1
80,81,St Mildred Poultrey,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,5,37,1,1
81,82,St Nicholas Acons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,42,1,1
82,83,St Nicholas Coleabby,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,7,35,1,1
83,84,St Nicholas Olaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,40,1,1
84,85,St Olave Hartstreet,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,1,3,12,39,1,1
85,86,St Olave Jewry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
86,87,St Olave Silverstreet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,5,40,1,1
87,88,St Pancras Soperlane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
88,89,St Peter Cheap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
89,90,St Peter Cornhil,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,6,21,1,1
90,91,St Peter Paulswharf,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,8,38,1,1
91,92,St Peter Poor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
92,93,St Steven Colemanstreet,0,0,0,0,0,0,0,0,1,1,1,1,0,1,4,1,3,2,1,2,18,33,1,1
93,94,St Steven Walbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
94,95,St Swithin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1
95,96,St Thomas Apostles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,4,38,1,1
96,97,Trinity Parish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,40,1,1
97,98,St Andrew Holborn,0,0,0,0,0,1,3,4,8,7,6,12,12,24,21,27,36,25,25,19,230,27,1,2
98,99,St Bartholomew Great,0,0,0,0,0,0,0,3,4,5,12,19,4,16,10,5,9,5,1,4,97,30,1,2
99,100,St Bartholomew Less,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,3,1,10,39,1,2
100,101,St Bridget,0,0,0,0,0,0,0,0,3,3,3,5,6,10,9,13,15,10,15,9,101,33,1,2
101,102,Bridewel Precinct,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,1,7,33,1,2
102,103,St Botolph Aldersgate,0,0,0,0,0,0,0,0,2,0,4,10,4,5,9,6,17,9,4,5,75,33,1,2
103,104,St Botolph Aldgate,2,6,10,7,9,11,16,24,26,20,21,31,37,54,28,59,50,41,39,18,509,20,1,2
104,105,St Botolph Bishopsgate,1,3,1,4,3,2,6,2,5,6,9,18,34,38,46,30,54,50,14,22,348,20,1,2
105,106,St Dunstan West,0,0,0,0,0,0,0,1,1,0,0,1,7,4,6,5,5,1,4,3,38,30,1,2
106,107,St George Southwark,0,2,0,0,0,0,1,0,9,6,10,57,51,52,55,52,59,23,9,14,400,21,1,2
107,108,St Giles Cripplegate,1,0,1,1,0,9,2,2,2,10,11,34,51,35,66,101,98,58,37,36,555,20,1,2
108,109,St Olave Southwark,0,0,0,0,0,0,1,1,8,12,18,24,32,31,33,66,55,86,44,52,463,29,1,2
109,110,Saviours Southwark,0,0,0,0,1,0,1,2,5,19,18,19,41,56,37,58,58,50,56,32,453,24,1,2
110,111,S Sepulchres Parish,0,0,1,2,6,7,7,6,10,21,18,26,30,42,32,30,36,34,19,21,348,22,1,2
111,112,St Thomas Southwark,0,4,0,2,6,1,2,0,2,2,0,4,8,11,8,13,8,11,8,7,97,21,1,2
112,113,Trinity Minories,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,3,1,2,0,2,14,34,1,2
113,114,Pesthouse Without the Walls,0,3,0,1,3,2,0,3,2,4,6,2,3,10,8,8,5,3,2,1,66,21,1,2
114,115,St Clement Danes,0,0,0,0,0,0,1,1,3,0,6,15,5,5,9,12,8,8,7,3,83,29,1,3
115,116,St Paul Covent Garden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,3
116,117,St Giles in the Field,0,0,0,0,2,2,1,6,9,15,12,32,30,30,29,29,22,20,11,13,263,24,1,3
117,118,St James Clerkenwel,0,3,0,1,2,7,7,4,9,15,10,25,19,33,27,27,29,16,11,10,255,21,1,3
118,119,St Katharine Tower,0,0,3,2,4,6,7,5,8,19,13,25,9,25,14,21,18,20,8,8,215,22,1,3
119,120,St Leonard Shoreditch,0,9,2,4,1,2,1,2,9,10,26,23,27,19,11,19,21,26,22,17,251,21,1,3
120,121,St Martin in the fields,0,0,0,0,0,0,2,3,3,5,3,15,10,17,17,20,19,18,19,16,167,29,1,3
121,122,St Mary Whitechappel,0,7,3,12,11,14,6,13,26,20,29,58,67,88,58,85,67,62,48,36,710,21,1,3
122,123,St Magdalen Bermondsey,0,0,0,0,0,0,0,0,0,8,3,8,9,18,16,15,15,16,14,2,124,34,1,3
123,124,St Mary Savoy,0,0,0,0,0,0,0,0,0,1,1,6,1,6,9,4,5,5,0,2,40,34,1,3
